title,score,num_users_voted,num_fb_likes,genres,keywords,synopsis,date,budget,gross
3 Backyards,5.2,554,92.0,drama,number in title,The story of three people from the same suburban town during the course of one curious autumn day.,2009-04-24,300000,[]
Pierrot le Fou,7.7,19386,2000.0,crime__drama__romance,party__smuggling__money__beach__on the run,"Ferdinand Griffon is married with his wealthy Italian wife and has been recently fired from the television station where he worked. His wife forces him to go to a party in the house of her influential father that wants to introduce Ferdinand to a potential employer. Her brother brings the babysitter Marianne Renoir to take care of their children. Ferdinand feels bored in the bourgeois party and borrows his brother-in-law's car to return home. He meets Marianne, who was his lover five years ago and insists on calling him Pierrot, and offers to take her home. However, he spends the night with her and finds that she is involved in smuggling weapons. When Marianne is chased by terrorists, they decide to travel to the beach without any money, leaving Paris and his family behind in a crazy journey to nowhere.",2009-04-24,300000,[]
Sisters in Law,7.5,291,50.0,documentary,,"Set in Kumba in South West Cameroon Sisters in Law follows Adultery, Rape and Abuse cases led by a Female Judge.",2006-07-07,[],32631
Ayurveda: Art of Being,7.6,341,379.0,documentary,india__life__healing__eastern philosophy,"Ayurveda is science of life and art of healing; where body, mind and spirit are given equal importance. This voyage of thousands of miles across India and abroad takes you on a unique poetic journey, where we encounter remarkable men of medicine or simply a villager who lives in harmony with nature. ""Hope is nature's way of enabling us to survive so that we can discover nature itself.""",2002-09-13,300000,16892
Nothing But a Man,8.1,891,363.0,drama__romance,father__1960s__worker__town__railroad,"Born in Birmingham, Duff Anderson, the father of a male toddler, who lives with a nanny, re-locates to a small town to work on the railroad. He meets with and is attracted to Josie much to the chagrin of her preacher father. The marriage does take place nevertheless, both re-locate to live in their own house and he gets a job in a mill. He decides not to bring his son to live with them. Challenges arise when the Mill Foreman finds out that Duff is attempting to unionize the workers, forcing Duff to quit, and look for work elsewhere. Unable to reconcile himself to working on a daily wage of $2.50 picking cotton nor even as a waiter, he gets a job at a garage. He is enraged at a customer for belittling him and Josie, and is let go. Unemployed, unable to support his wife and son, he gets abusive and leaves - perhaps never to return.",2013-08-23,160000,12438
"First Love, Last Rites",5.5,294,26.0,drama__romance,misfit__sex__red panties__panties__listening to music,Joey and Sissel are two misfits spending most of their time together talking or having sex. Gradually and slowly their relationships are becoming boring for them.,1998-10-09,300000,40542
Fighting Tommy Riley,6.6,720,30.0,drama__sport,undressing__older man younger man relationship__unrequited love__school teacher__punching bag,"Trainer Marty Goldberg has been stuck working on the fringes of the professional circuit far too long. Searching for a way out, he discovers Tommy, a young man with raw talent to burn. Outside the ring however, Tommy displays a self-destructive streak that could end his career before it begins. Marty works with Tommy to tame that streak.",2005-05-06,200000,5199
Royal Kill,3.2,476,53.0,action__thriller,kingdom__assassin__mission__female assassin__martial arts,"When a female assassin is sent to the US to kill the last living heir to the modern day Himalayan Kingdom, royal solider is also sent to protect her. When he is face to face with the assassin his duty to the Kingdom becomes compromised. As they battle, secrets are uncovered and the line between good and evil is erased. Only one mission can be completed and only one person can survive.",2005-05-06,350000,[]
Across the Universe,7.4,91863,14000.0,drama__fantasy__musical__romance,love__song__protest__anti war__liverpool,"Across The Universe is a fictional love story set in the 1960s amid the turbulent years of anti-war protest, the struggle for free speech and civil rights, mind exploration and rock and roll. At once gritty, whimsical and highly theatrical, the story moves from high schools and universities in Massachusetts, Princeton and Ohio to the Lower East Side of Manhattan, the Detroit riots, Vietnam and the dockyards of Liverpool. A combination of live action and animation, the film is paired with many songs by",2007-12-07,45000000,24343673
The Looking Glass,6.6,82,175.0,drama__music,,"Troubled 13-year-old Julie loses her mother and must go to Indiana to live with her grandmother Karen. A former star of stage and screen, Karen has the early stages of Alzheimer's and wants to pass on all she knows to her granddaughter before it's too late. Will their troubled relationship allow this to happen?",2015-11-27,[],1711
Death Race 2000,6.2,19875,2900.0,action__comedy__sci-fi__sport,psychotronic__drive in classic__cult director__cult film__race,A champion of a brutal cross-country car race of the future where pedestrians are run down for points has a change of heart while being hounded by rivals and a conspiracy seeking to stop the race.,2015-11-27,300000,[]
Locker 13,4.8,241,261.0,thriller,life or death__philosophy__supernatural__latino__digit in title,"Skip, the nighttime janitor in an Old West theme park, delves into the mysteries surrounding an old locker. His sage supervisor recounts chilling tales that underscore the importance of making the right choice. The recollection includes an aging boxer who is given an opportunity to become a real killing machine, a young man seeking membership in a secret society who experiences an initiation with deadly consequences, a would be suicide shaken to his core by a menacing member of a very special club, and a hit man for hire playing a devious cat and mouse game with three women who have a score to settle. The stories suddenly come into play when Skip makes an unsettling discovery and faces a life-or-death decision of his own.",2014-03-28,300000,2468
Midnight Cabaret,4.5,47,4.0,horror,devil__nightmare__death__cigarette smoking__satanic cult,"A Broadway producer puts on a play with a Devil character in it. Soon the actors begin having nightmares, and events that are mentioned in the play really start happening.",2014-03-28,[],[]
Anderson's Cross,7.2,95,7.0,comedy__drama__romance,teenage boy__sex__mother daughter relationship__divorce__marriage,"Nick Anderson, Kevin Daniels, and Tracey Green do everything together. They are the best of friends, and yet they couldn't be more different. Neighbors from adolescence, they finish each other's thoughts and sentences, joys and pains, happiness and tears. Using Nick's house as their own members only clubhouse, they escape into their own world of contentment. Yet the inevitable intrusion of others tests their stability in ways never imagined.",2014-03-28,300000,[]
Bizarre,4.3,569,114.0,drama__musical__romance,full frontal nudity__male nudity__group shower__shower__male full frontal nudity,"Maurice is a French teenager who escaped France and begins working at a hype club in Brooklyn called BIZARRE. He quickly becomes a sort of 'mascot' of this incredible club.The owner and the artists that perform there love him, but Maurice can't love...because of the past...and his secrets.",2014-03-28,500000,[]
Graduation Day,4.5,1905,249.0,horror__mystery,track__school principal__team__mask__coach,"After a high school track runner, named Laura, suddenly dies from a heart attack after finishing a 30-second 200-meter race, a killer wearing a sweat suit and a fencing mask begins killing off her friends on the school track team one by one. The suspects include the track coach Michaels, Laura's sister Anne who arrives in town for the funeral, the creepy school principal Mr. Guglione, and Laura's strange boyfriend Kevin.",2014-03-28,250000,[]
Some Guy Who Kills People,6.4,4550,1900.0,comedy__crime__drama__horror__mystery__thriller,,"This film is about Ken Boyd, a guy who is not long out of a mental hospital who is working at an ice-cream/burger parlor. The people that put him in the mental hospital start turning up dead, killed in horrific ways. He finds out he has a daughter while at the same time that these killings are happening in the town. Meanwhile the local Sheriff is going out with Ken's mom and he starts to suspect that Ken is the killer. All the evidence is pointing that way, and Ken's estranged daughter catches him in a compromising position. It's not looking good for Ken.",2014-03-28,300000,[]
Compliance,6.4,24668,8700.0,biography__crime__drama__thriller,fast food restaurant__telephone call__boss subordinate relationship__authority__gullibility,"At a fast food restaurant, the manager, Sandra, is having a bad day. Suddenly, she gets a phone call from a man claiming to be a police officer who has a complaint that one of her young female employees has stolen from a customer. At the orders of this authoritative sounding stranger, Sandra takes the apparent accused, Becky, to a back room to search her before she is picked up. Once there, the phone scammer manipulates the gullible personnel into participating in Becky's sexual humiliation that grows more twisted with every new sucker on the phone. Only when one final person has the conscience to revolt do they realize the crime they were tricked into, which the real police are hard pressed to solve.",2012-10-26,270000,318622
Chasing Amy,7.3,114070,3600.0,comedy__drama__romance,comic book__gay__lesbian__friendship__secret,"A pair of comic book authors named Holden McNeil and Banky Edwards, who live in New Jersey, have been best friends for 20 years. They spend their time working in their studio, and in the evenings they are going out. But their friendship is about to be disputed for the first time in their life, when a beautiful young lesbian woman named Alyssa Jones enters their life and Holden falls in love with her. Now Holden has to deal with Banky's jealousy, and with his new girlfriend's very rich past.",1997-09-26,250000,12006514
Lovely & Amazing,6.9,6041,169.0,comedy__drama__romance,insecurity__homecoming queen__african american__dog__surgery,"The Marks family is a tightly-knit quartet of women. Jane is the affluent matriarch whose 3 daughters seem to have nothing in common except for a peculiar sort of idealism. Setting the tone of vanity and insecurity, Jane is undergoing cosmetic surgery to alter her figure, but serious complications put her health in real danger. Former homecoming queen Michelle, the eldest daughter, has one daughter of her own and an alienated, unsupportive husband. Elizabeth, the middle sister, has an acting career that is beginning to take off, but is timid and insecure, and habitually relieves her trepidation by taking in stray dogs. Only the youngest sister, Annie, an adopted African American 8-year-old, stands a chance of avoiding the family legacy of anxious self-absorption. If only her intelligence and curiosity will see her through what promises to be a confusing adolescence. Each of the women seeks redemption in her own haphazard way.",2002-09-20,250000,4186931
Death Calls,4.3,30,16.0,action__adventure__mystery__romance__thriller,rebirth__reincarnation__revenge__oppression__murder,"Christina was an illegal immigrant and on the run. Worse yet, she was on the run for murder. She had just shot a policeman, killed him in fact with another policeman's gun. Was it all real? She knew it was. She could hear them close behind, tramping through the forest. The sound of the dogs is echoing off of the dense woods. Her Heart is firing like a trip hammer in her chest. Blood courses through her like a raging river and she hears a voice calling as if through a wall. They were coming closer. Christina is on her feet and moving. They're right behind her. The world goes black and the dreams come. Christina wakes to find herself in a bed and in a mysterious cabin that is frighteningly familiar. She is also awakened to Gabriel, her enigmatic rescuer, a dark man, with a darker secret. Injured, frightened and alone, Christina stays with the mysterious stranger who both terrorizes and attracts her. Something about this man, his eyes, his voice, draws her closer to something she doesn't...",2002-09-20,290000,[]
Better Luck Tomorrow,7.2,8000,661.0,crime__drama__romance,high school__overachiever__asian american__vomiting__pubic hair,"Ben is a perfectionist and overachiever whose tunnel vision leads to nothing less than graduating at the top of his class. As he struggles to achieve social success, he discovers his darker side. He and his friends: Virgil, Daric and Han lead a double life of mischief and petty crimes to alleviate the pressures of perfection. As their adopted identity grows, the gang tumbles into a downward spiral of excitement, excess and fun.",2003-06-20,250000,3799339
The Incredibly True Adventure of Two Girls in Love,6.5,3513,423.0,comedy__drama__romance,lesbian__friend__class__caught having sex__lesbian sex,"The story of two girls, Randy and Evie. Randy is a low economic class lesbian living with other lesbians including her aunt. Evie is a wealthy, popular girl with a boyfriend. When Evie befriends Randy, she begins to feel a passion for her she's never felt before. What follows is a sweet, tender romance between the two while Evie is cast away by her friends and Randy is chided by her family. The two don't care, though, because they are in love.",,250000,1977544
Chuck & Buck,6.6,4662,170.0,comedy__drama,sexuality__bisexuality__gay kiss__friend__best friend,"Buck is a man-child who has lived his existence in a life of Romper Room, kindergarten collages, and lollipops. When his mother dies suddenly, Buck remembers his old childhood friend Chuck, with whom he feels a need to reconnect after having invited him to his mother's funeral. Buck treks out to Los Angeles where Chuck, an up-and-coming music record executive, is living his life. Buck ends up developing an obsession with Chuck and begins stalking him.",2000-09-29,250000,1050600
American Desi,6.7,1489,133.0,comedy__drama__romance,college__heritage__desi__indian american__india,"College freshman Krishna Reddy, who has never cared for his Indian-American cultural heritage, looks forward to a new life on campus but is surprised to find that he has been assigned Indian roommates. Through his new experiences, he struggles to understand the side of himself he has always turned his back on in order to fit in.",2001-04-13,250000,902835
Amidst the Devil's Wings,4.3,28,17.0,action__crime__drama,,"Prequel to ""5th of a Degree.""",2001-04-13,300000,[]
Cube,7.3,160511,11000.0,mystery__sci-fi__thriller,maze__trap__escape__red light__labyrinth,"Six different people, each from a very different walk of life, awaken to find themselves inside a giant cube with thousands of possible rooms. Each has a skill that becomes clear when they must band together to get out: a cop, a math whiz, a building designer, a doctor, an escape master, and a disabled man. Each plays a part in their thrilling quest to find answers as to why they've been imprisoned.",1998-11-27,,489220
Love and Other Catastrophes,6.4,1727,46.0,comedy__romance,student__medical student__love__university__film school,"Two female students struggling to complete their university degrees seek a flatmate. At the same time Michael, a medical student, is looking for a new place to stay.",1997-04-25,250000,212285
I Married a Strange Person!,7.0,1428,178.0,animation__comedy__drama__fantasy__sci-fi,sex__punctuation in title__exclamation point in title__claim in title__reference to babe ruth,"A newlywed develops a strange lump on his neck that gives him the ability to transform people or objects at will. His wife is very upset. Meanwhile, the CEO of Smilecorp learns of this man and his ability and sees a way to achieve world domination if only the man can be taken alive.",1998-12-04,250000,203134
November,5.5,2787,98.0,drama__mystery__thriller,shot to death__robbery__photographer__murder__female protagonist,"When her boyfriend is shot to death in a robbery, LA photographer Sopie Jacobs tries her hardest to put the event behind her. But as she struggles to get over the murder, Sophie's life begins to change, leaving her clueless as to what's coming. But worst of all, the line between reality and fantasy is beginning to shatter.",2005-10-07,150000,191309
Like Crazy,6.7,46813,12000.0,drama__romance,immigration__student visa__long distance relationship__girlfriend__parents,"Anna and Jacob fall instantly in love when they meet as students at an L.A. university. But Anna is British and when graduation approaches, Anna decides to stay and violate her student visa rather than returning to England. After a visit home, she is then unable to return to the United States. While fighting customs and immigration battles, Anna and Jacob must decide if their relationship is worth the distance and the hardship.",2012-01-06,250000,3388210
Teeth and Blood,4.3,24,85.0,horror,blood__teeth,"Diva actress Elizabeth Thornrich is murdered on the film set of famous Hollywood Director Vincent Augustine's latest film ""Chapel Blood"", and the body has disappeared. Homicide Division head Captain Parker assigns detectives Mike Hung, 29, and Sasha Colfax, 27, to go undercover on the set. Captain Parker is trying to keep the murder out of the press in order to trap the killer and not interrupt the film's production, because all the profits will be donated to the financially strapped city to open a synthetic blood bank. The city's blood donation supply is critically low and people are dying. Unbeknownst to all, the blood is being devoured by vampires, so they won't have to bite humans. Greedy Mayor Harvey Wright has made a deal with director Augustine to get kickbacks from the synthetic blood bank. At the same time, head of the largest vampire coven is plotting to have his rival covens drink the synthetic blood, not revealing that it weakens vampires over time and will ultimately put ...",2012-01-06,300000,[]
Sugar Town,6.1,708,93.0,comedy__music,music producer__drugs__title directed by female__vegetarian__rock music,"Unimpassioned look at the lives of struggling L.A. scene rock stars follows main character, Gwen, on her quest for the top. Working as an assistant to a film production designer, she tries to steal her boy friend who is a music producer by offering sexual favors. The producer meanwhile is trying to orchestrate a comeback for a former glam band played by Michael Des Barres (of Power Station fame), John Taylor (from Duran Duran), and Martin Kemp (from Spandau Ballet). Rosanna Arquette plays the former movie star wife of the lead singer, who is fretting because she has just been offered the role as the mother of one of the new ingenious. Beverly D'Angelo also shows up as a millionairess who agrees to bankroll the group, but only if she gets a roll in the hay with the lead singer. All of the career problems, including drug proclivity, are represented in this film.",1999-11-12,250000,177840
The Motel,6.8,1227,62.0,comedy__drama,motel__friendship between men__asian american__absent father__mother son relationship,"Thirteen-year-old Ernest Chin lives and works at a sleazy hourly-rate motel on a strip of desolate suburban bi-way. Misunderstood by his family and blindly careening into puberty, Ernest befriends Sam Kim, a self-destructive yet charismatic Korean man who has checked in. Sam teaches the fatherless boy all the rites of manhood.",2006-10-06,[],47111
The Canyons,3.9,8511,3400.0,drama__thriller,penis__pubic hair__psychopath__cocaine__homosexual,"When Christian, an LA trust-fund kid with casual ties to Hollywood, learns of a secret affair between Tara and the lead of his film project, Ryan, he spirals out of control, and his cruel mind games escalate into an act of bloody violence.",2013-08-23,250000,49494
Happy Valley,8.5,12848,10000.0,crime__drama,tied to a chair__caravan__yorkshire__police sergeant__police,"Catherine is a no-nonsense police sergeant who heads up a team of officers in a rural Yorkshire valley. When a staged kidnapping spirals out of control turning into a brutal series of crimes, Catherine finds herself involved in something significantly bigger than her rank, but unknowingly close to home.",2013-08-23,[],[]
On the Outs,6.9,603,122.0,drama,drug dealer__dominican__teenage pregnancy__single mother__prison,"Follows the choices made by three young women - one a drug dealer, one an addict, one a pregnant teen - in Jersey City.",2013-08-23,[],[]
Shotgun Stories,7.3,7148,773.0,drama__thriller,shotgun__half brother__bare chested male__indifference__violence,"Shotgun Stories tracks a feud that erupts between two sets of half brothers following the death of their father. Set against the cotton fields and back roads of Southeast Arkansas, these brothers discover the lengths to which each will go to protect their family.",2008-07-11,[],45661
Exam,6.9,70076,14000.0,mystery__thriller,hairpin__band aid__unsubtitled foreign language__one day__single set production,"Eight talented candidates have reached the final stage of selection to join the ranks of a mysterious and powerful corporation. Entering a windowless room, an Invigilator gives them eighty minutes to answer one simple question. He outlines three rules they must obey or be disqualified: don't talk to him or the armed guard by the door, don't spoil their papers and don't leave the room. He starts the clock and leaves. The candidates turn over their question papers, only to find they're completely blank. After the initial confusion has subsided, one frustrated candidate writes 'I believe I deserve...,' and is promptly ejected for spoiling. The remaining candidates soon figure out they're permitted to talk to each other, and they agree to cooperate in order to figure out the question: then they can compete to answer it. At first they suspect the question may be hidden in their papers like a security marker in a credit card, and they figure out ways to change their environment to expose ...",2008-07-11,[],[]
The Sticky Fingers of Time,6.3,336,67.0,sci-fi,writer__future__time travel__title directed by female__nonlinear timeline,"A writer, Tucker Harding, is hired to cover an article on the hydrogen-bomb test, Nevada, 1952. While there, radiation mutates her code/soul, spawning in her the ability to travel through time by force of will. Not long after she is murdered by a woman from the future, Ofelia, intent on securing her own ability to time travel. However, before her death Tucker travels to the year 1997 where she meets Drew, a failed writer who has been infected with Tuckers original mutation since birth.",1999-04-09,250000,18195
Sunday School Musical,2.5,602,777.0,drama__musical,competition__church__pastor__new school__high school,"When financial woes threaten their church's future, a group of teens, led by one talented performer, enters a song and dance competition in hopes of winning a heavenly cash prize.",1999-04-09,[],[]
Rust,5.7,300,141.0,drama,,"A former pastor who walked away from his calling returns to his small hometown to discover that a mysterious fire tragically struck a local family. When he learns that his childhood friend is implicated in starting the fire, he sets out on a mission to find the truth?.and in the process, rediscovers his faith.",1999-04-09,,[]
Ink,7.0,18486,11000.0,action__drama__fantasy__sci-fi,storyteller__dream__self destructiveness__time paradox__workaholic,"As the light fades and the city goes to sleep, two forces emerge. They are invisible except for the power they exert over us in our sleep, battling for our souls through dreams. One force delivers hope and strength through good dreams; the other infuses the subconscious with desperation through nightmares. John and Emma, Father and Daughter are wrenched into this fantastical dream world battle, forced to fight for John's soul and to save Emma from an eternal nightmare. Separate in their journey, they encounter unusual characters that exist only in their subconscious. Or do they?",1999-04-09,[],[]
The Christmas Bunny,6.2,450,1200.0,drama__family,rabbit__christmas__michigan__animal in title__farm,"The Christmas Bunny tells the story of a lonely foster child (Sophie Bolen) who finds a lost, injured rabbit in the woods on Christmas Eve. The rabbit is nursed back to health by The Bunny Lady (Florence Henderson), who runs a rabbit rescue in an old barn behind her Michigan farmhouse.",1999-04-09,250000,[]
Jesus People,6.9,31,0.0,short__comedy,subtle comedy__single camera__mockumentary,"Once Zak, Cara, Gloria, and Ty decide upon the name Cross My Heart for their Christian band they must wade through the waters of deciding upon a genre, writing a song, and recording their first music video, ""Snatched Up (The Rapture)"" -- all while avoiding the temptations of the world and its' vacant promises.",1999-04-09,[],[]
Butterfly,4.5,870,76.0,crime__drama,breasts__voyeur__female frontal nudity__female rear nudity__incest,"Orson Welles, as judge Rauch, holds a lengthy trial against Jess Tyler, a caretaker deserted by his wife ten years before, who's accused of improper relations with his daughter Kady. Complications follows when Wash, father of Kady's baby, comes back to take her away.",1999-04-09,[],[]
UnDivided,7.8,6,53.0,documentary,,"In the 1960s, Roosevelt High School was the most outstanding school in Portland, Oregon, brimming with bright young students from the growing vibrant neighborhood. Fifty years later this institution was nearly empty and collapsing - enrollment down, facilities crumbling, sports teams a joke, and nearly 20% of the students technically homeless. Students with any means had left, finding safer and newer schools elsewhere, leaving the less fortunate students still at Roosevelt attempting to survive in a war zone. By 2007 things were so bad the superintendent of schools had slated the once grand school for closure. All that begin to change in 2008. SouthLake Church was like many suburban churches in the Northwest. It's gleaming facilities full of professionals, young people and traditional families eager to worship God and experience teaching in a comfortable and convenient environment. When Pastor Kip Jacob agreed to participate in a clean-up day at Roosevelt, he expected a couple hundred...",1999-04-09,250000,[]
The Frozen,4.4,1488,519.0,horror__thriller,two word title,"After a harrowing snowmobile accident, a young couple is stranded in the woods and must survive while waiting for help to arrive. Events take a turn for the worse after the disappearance of Emma's boyfriend, leaving her on her own not only to battle the elements, but also to elude a mysterious hunter who is tracking her through the forest.",1999-04-09,250000,[]
The Love Letter,7.4,1465,515.0,fantasy__romance,time travel__letter__antique__desk__love,"Scotty Corrigan buys an antique desk and finds a Civil War-era letter inside it, written by a woman who died over a hundred years ago. Fancifully, he writes and mails a reply...only to have it reach its destination in the past. As Elizabeth and Scotty continue their remarkable correspondence, they find themselves falling in love, and more than restless about their impending, respective, marriages.",1999-04-09,[],[]
Horse Camp,6.6,25,71.0,family,,"When Kathy arrives at horse camp, she realizes that she must deal with Stacy, the resident mean girl. As competition heats up, Kathy learns to recognize the true value of real friendship.",1999-04-09,250000,[]
Give Me Shelter,8.0,37,199.0,documentary,independent film,"Give Me Shelter is a film to raise awareness for important animal issues around the world. The movie will incorporate the work that many different individuals and animal organizations do in a way that has never been done before. The movie illustrates what is really going on with important issues in the animal world such as the underground black market trade of wild and exotic animals, puppy mills, poaching, animal abuse and neglect, conservation, the food we consume, the fur industry, the pet industry and so on.",1999-04-09,250000,[]
The Big Parade,8.3,4849,226.0,drama__romance__war,france__world war one__climbing a tree__translation problems__chewing gum,"The idle son of a rich businessman joins the army when the U.S.A. enters World War One. He is sent to France, where he becomes friends with two working-class soldiers. He also falls in love with a Frenchwoman, but has to leave her to move to the frontline.",1999-04-09,245000,[]
Little Big Top,6.5,110,72.0,comedy,clown__circus__amateur__urination__unconsciousness,"An aging out of work clown returns to his small hometown, resigned to spend the rest of his days in a drunken stupor. But when his passion for clowning is reawakened by the local amateur circus he finds his smile.",1999-04-09,240000,[]
Along the Roadside,7.1,330,231.0,comedy__music__romance,,"Two young people from different parts of the world, their vastly different cultures and their journey of self-discovery during the drive to the largest music festival in California.",1999-04-09,250000,[]
Bronson,7.1,84817,22000.0,action__biography__crime__drama,male full frontal nudity__prison__violence__prisoner__solitary confinement,"In 1974, a hot-headed 19 year old named Michael Peterson decided he wanted to make a name for himself and so, with a homemade sawn-off shotgun and a head full of dreams he attempted to rob a post office. Swiftly apprehended and originally sentenced to 7 years in jail, Peterson has subsequently been behind bars for 34 years, 30 of which have been spent in solitary confinement. During that time, Michael Petersen, the boy, faded away and 'Charles Bronson,' his superstar alter ego, took center stage. Inside the mind of Bronson - a scathing indictment of celebrity culture.",2009-12-25,[],104792
Western Religion,4.0,146,244.0,adventure__drama__fantasy__thriller__western,gunfighter__arizona__gambling__poker game__year 1879,"Gunfighters and cardsharps from the far reaches of the globe descend on the mining town of Religion, Arizona to compete in a legendary poker tournament. Drawn to town by the gold prize, the players come to realize that in this game their very souls are at stake.",2009-12-25,250000,[]
Burn,7.5,575,801.0,documentary,firefighter__detroit michigan__michigan__abandoned building__urban setting,"The city of Detroit, Michigan has been in severe decline in recent decades. Among the resulting problems is the dramatic rise of fires in a decaying urbanscape of abandoned buildings that seems to have no future. This film profiles the lives and trials of the personnel of the Detroit Fire Department, who are on the front line of this taxing battle. Facing constant emergencies in the face of shrinking budgets, the firefighters of Detroit are to determined to protect the city as best they can, whatever the cost.",2012-12-21,225000,111300
Urbania,7.0,2742,72.0,drama,new york__needle__tourist__hot dog bun__rat,"Charlie takes an odyssey through grief during a fall weekend in New York City. His encounters are planned and chance: with a homeless man who sleeps by his building, with a friend who's dying, with the couple who lives (and noisily loves) in the flat above him, with a bartender and a one-night-stand he follows home, and with a tattooed stranger whom he seeks out and befriends. Along the way, Charlie inhabits a city full of moments of violence and of stories and legends: a kidney thief, a microwaved poodle, a rat in a hot dog bun, a baby left on a car top, a tourist's toothbrush, needles in public-phone change slots. Charlie lives and tells his own stories. What caused his melancholy?",2000-11-24,225000,1027119
The Stewardesses,4.0,161,17.0,comedy__drama,lesbianism__lesbian sex__female frontal nudity__female nudity__sex,"A single eventful night in the lives of a crew of Los Angeles-based, trans-Pacific stewardesses, as they experiment with drugs and engage in various sexual encounters.",2000-11-24,100000,[]
"The Beast from 20,000 Fathoms",6.7,4812,465.0,adventure__horror__sci-fi,monster__beast__arctic__rhedosaurus__dinosaur,"As a result of an arctic nuclear test, a carnivorous dinosaur thaws out and starts making its way down the east coast of North America. Professor Tom Nesbitt, only witness to the beast's existence, is not believed, even when he identifies it as a ""rhedosaurus"" to paleontologist Thurgood Elson. All doubts disappear, however, when Elson is swallowed whole during an oceanic bathysphere excursion to search for the creature. Soon thereafter the rhedosaurus emerges from the sea and lays waste to Manhattan Island until Nesbitt comes up with a plan to try to stop the seemingly indestructible beast.",,210000,5000000
"20,000 Leagues Under the Sea",7.2,22124,1500.0,adventure__drama__family__fantasy__sci-fi,captain__sea__submarine__expedition__whale,"The oceans during the late 1860-92s are no longer safe; many ships have been lost. Sailors have returned to port with stories of a vicious narwhal (a giant whale with a long horn) which sinks their ships. A naturalist, Professor (Pierre) Aronnax, his assistant, Conseil, and a professional whaler, Ned Land, join an US expedition which attempts to unravel the mystery.",,5000000,[]
Mad Max,7.0,152232,10000.0,action__adventure__sci-fi__thriller,post apocalypse__biker__woman wearing only a man's shirt__motorcycle__motorcycle gang,"Taking place in a dystopian Australia in the near future, Mad Max tells the story of a highway patrolman cruising the squalid back roads that have become the breeding ground of criminals foraging for gasoline and scraps. When his wife and child meet a grisly end at the hands of a motorcycle gang, Max sets out across the barren wastelands in search of revenge.",,200000,[]
Swingers,7.4,63951,3700.0,comedy__drama,friend__actor__cult film__upskirt__black panties,"This is a story about Mike, a guy who left his girl in New York when he came to LA to be a star. It's been six months since his girlfriend left him and he's not doing so good. So, his pal and some other friends try and get him back in the social scene and forget about his 6 year relationship.",1997-01-31,200000,4505922
A Fistful of Dollars,8.0,147566,4500.0,action__drama__western,bar__revenge__drifter__mexican__balladeer,"An anonymous, but deadly man rides into a town torn by war between two factions, the Baxters and the Rojo's. Instead of fleeing or dying, as most other would do, the man schemes to play the two sides off each other, getting rich in the bargain.",,200000,3500000
She Done Him Wrong,6.5,4152,328.0,comedy__drama__history__musical__romance,captain__singer__saloon__saloon singer__marriage proposal,"New York singer and nightclub owner Lady Lou has more men friends than you can imagine, unfortunately one of them is a vicious criminal who's escaped and is on the way to see ""his"" girl, not realizing she hasn't exactly been faithful in his absence. Help is at hand in the form of young Captain Cummings, a local temperance league leader, though.",,200000,[]
Short Cut to Nirvana: Kumbh Mela,7.2,131,30.0,documentary,,"Every 12 years over 70 million pilgrims gather at the meeting of India's holiest rivers, the Ganges and the Yamuna, for a spectacular spiritual festival: the Kumbh Mela. This documentary takes a voyage of discovery through this colorful event through the eyes of several Westerners and an ebullient young Hindu monk, Swami Krishnanand. Featuring encounters with some of India's most respected holy men and exclusive footage of His Holiness the Dalai Lama.",2005-12-09,200000,381225
The Grace Card,6.4,2099,1700.0,drama,pastor__police__christian film__forgiveness__hospital,"Everything can change in an instant ... and take a lifetime to unravel. When Mac McDonald loses his son in an accident, the ensuing 17 years of bitterness and pain erodes his love for his family and leaves him angry with God ... and just about everyone else. Mac's rage stonewalls his career in the police department and makes for a combustible situation when he's partnered with Sam Wright, a rising star on the force who happens to be a part-time pastor and a loving family man. Can they somehow join forces to help one another when it's impossible for either of them to look past their differences-especially the most obvious one? Every day, we have the opportunity to rebuild relationships and heal deep wounds by extending and receiving God's grace. Offer THE GRACE CARD ... and never underestimate the power of God's love.",2011-04-15,200000,2428241
Middle of Nowhere,6.5,1034,569.0,drama,,"When her husband is sentenced to eight years in prison, Ruby drops out of medical school in order to focus on her husband's well-being while he's incarcerated - leading her on a journey of self-discovery in the process.",2012-10-12,200000,78030
3,6.8,4212,2000.0,comedy__drama__romance,female nudity__full frontal female nudity__menage a trois__male frontal nudity__pubic hair,"A Berlin-set drama centered on a 40-something couple who, separately, fall in love with the same man.",2011-12-16,[],59774
The Business of Fancydancing,6.9,460,96.0,drama__music,reservation__gay__funeral__poet__native american protagonist,"Seymour Polatkin is a successful, gay Native American poet from Spokane who confronts his past when he returns to his childhood home on the reservation to attend the funeral of a dear friend.",2002-10-04,200000,174682
Call + Response,7.5,48,26.0,documentary__history__music,slavery__fair trade__human trafficking__rockumentary__non profit,Fair Trade Pictures to support human rights activism against human trafficking and slavery on a community level.,2009-01-09,200000,215185
